Date,Location,Age,Gender,Married,Occupation,Total Spend
01/01/2020,Bangalore,33,Male,Yes,Student,460
01/01/2020,Hyderabad,34,Male,Yes,Doc,250
01/01/2020,Ahmedabad,30,Female,Yes,IT,370
01/01/2020,Mumbai,42,Female,No,IT,330
01/01/2020,Pune,26,Female,Yes,IT,450
01/01/2020,Kolkata,38,Male,No,IT,120
01/01/2020,Kolkata,39,Male,No,IT,350
01/01/2020,Delhi,30,Female,Yes,Student,470
02/01/2020,Hyderabad,25,Female,No,IT,340
02/01/2020,Delhi,31,Male,No,IT,200
02/01/2020,Mumbai,42,Male,Yes,Doc,320
02/01/2020,Kolkata,26,Male,Yes,IT,300
03/01/2020,Ahmedabad,41,Male,Yes,Doc,290
03/01/2020,Delhi,38,Male,Yes,Doc,500
03/01/2020,Pune,43,Female,Yes,IT,140
03/01/2020,Mumbai,26,Male,No,IT,470
04/01/2020,Hyderabad,34,Female,No,Doc,110
04/01/2020,Mumbai,40,Male,Yes,Student,510
04/01/2020,Mumbai,25,Male,No,Doc,120
04/01/2020,Kolkata,36,Female,No,Doc,430
04/01/2020,Kolkata,30,Female,No,Student,450
05/01/2020,Pune,39,Male,No,IT,400
05/01/2020,Chennai,32,Female,No,IT,230
05/01/2020,Hyderabad,28,Female,No,IT,220
06/01/2020,Bangalore,26,Polygender,Yes,Doc,250
06/01/2020,Chennai,42,Male,No,Student,470
06/01/2020,Hyderabad,32,Female,Yes,IT,150
06/01/2020,Pune,42,Male,No,IT,260
06/01/2020,Bangalore,25,Female,Yes,Student,130
06/01/2020,Hyderabad,30,Polygender,No,IT,260
06/01/2020,Mumbai,33,Male,No,IT,170
06/01/2020,Pune,25,Male,No,Doc,380
06/01/2020,Kolkata,38,Female,No,IT,390
07/01/2020,Mumbai,26,Male,Yes,Doc,330
07/01/2020,Pune,31,Male,No,Doc,140
07/01/2020,Kolkata,43,Female,Yes,Student,280
07/01/2020,Delhi,34,Male,No,Student,180
